2026-08-28 17:22:48 | INFO | amazon_scrapper | [1:16] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_016.html
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:4] HTTP 200 https://www.amazon.com/Razer-Basilisk-HyperSpeed-Customizable-Wireless/dp/B0BXBC26X8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-6
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:4] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_004.html
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:3] HTTP 200 https://www.amazon.com/Razer-DeathAdder-Essential-Gaming-Mouse/dp/B094PS5RZQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-5
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:3] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_003.html
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:1] HTTP 200 https://www.amazon.com/Razer-Basilisk-Customizable-Ergonomic-Gaming/dp/B09C13PZX7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-3
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:1] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_001.html
2026-08-28 17:22:50 | INFO | amazon_scrapper | [2:5] HTTP 200 https://www.amazon.com/Redragon-M602-Ergonomic-High-Precision-Programmable/dp/B011HMDZ0Q/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-8
2026-08-28 17:22:50 | INFO | amazon_scrapper | [2:5] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_005.html
2026-08-28 17:22:50 | INFO | amazon_scrapper | [2:6] HTTP 200 https://www.amazon.com/INPHIC-A9-Explorer-Wireless-Bluetooth/dp/B0F1D7P51F/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-9
2026-08-28 17:22:50 | INFO | amazon_scrapper | [2:6] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_006.html
